YS,O2,Reheated,ac_ferr,T27J
605,0.0769,46,56,-27
605,0.074,51,48,-40
560,0.07,55,53,-44
585,0.079,43,48,-39
600,0.083,47,53,-32
495,0.081,79,61,-28
630,0.072,60,86,-70
550,0.073,42,70,-45
560,0.069,44,62,-31
550,0.071,55,55,-13
630,0.073,39,68,-55
500,0.07,54,46,-34
610,0.05,44,56,-80
590,0.052,41,59,-78
560,0.048,61,64,-68
550,0.056,51,59,-74
500,0.048,67,60,-68
530,0.12,43,45,-28
490,0.124,46,54,-20
450,0.117,53,46,-30
490,0.107,46,47,-26
420,0.11,72,21,-13
460,0.046,55,46,-74
430,0.052,48,36,-63
440,0.077,40,52,-57
410,0.05,42,63,-55
360,0.047,57,75,-73
469,0.057,40,50,-50
473,0.043,40,62,-65
499,0.055,40,58,-60
519,0.05,40,58,-72
459,0.047,40,50,-40
521,0.042,40,63,-40
507,0.053,40,61,-67
549,0.048,40,67,-60
510,0.044,40,55,-59
531,0.048,40,70,-37
500,0.045,40,55,-60
520,0.042,40,51,-70
570,0.038,40,47,-70
510,0.038,40,52,-70
550,0.04,40,44,-61
540,0.04,40,33,-65
560,0.043,40,15,-47
500,0.058,40,40,-47
510,0.065,20,54,-37
525,0.053,20,38,-50
480,0.058,20,30,-48
500,0.058,20,20,-37
440,0.048,20,5,-40
470,0.046,20,62,-88
480,0.039,20,70,-72
480,0.034,20,70,-60
500,0.031,20,63,-73
510,0.029,20,60,-72
510,0.028,20,62,-72
500,0.028,20,68,-75
540,0.029,20,74,-75
530,0.029,20,76,-75